"Age"	"BusinessTravel"	"DailyRate"	"Department"	"DistanceFromHome"	"Education"	"EducationField"	"EmployeeNumber"	"EnvironmentSatisfaction"	"Gender"	"HourlyRate"	"JobInvolvement"	"JobLevel"	"JobRole"	"JobSatisfaction"	"MaritalStatus"	"MonthlyIncome"	"MonthlyRate"	"NumCompaniesWorked"	"OverTime"	"PercentSalaryHike"	"PerformanceRating"	"RelationshipSatisfaction"	"StockOptionLevel"	"TotalWorkingYears"	"TrainingTimesLastYear"	"WorkLifeBalance"	"YearsAtCompany"	"YearsInCurrentRole"	"YearsSinceLastPromotion"	"YearsWithCurrManager"
30	"Travel_Rarely"	570	"Sales"	5	3	"Marketing"	456	4	"Female"	30	2	2	"Sales Executive"	3	"Divorced"	6118	5431	1	"No"	13	3	3	3	10	2	3	10	9	1	2
57	"Travel_Rarely"	405	"Research & Development"	1	2	"Life Sciences"	1483	2	"Male"	93	4	2	"Research Scientist"	3	"Married"	4900	2721	0	"No"	24	4	1	1	13	2	2	12	9	2	8
38	"Travel_Frequently"	240	"Research & Development"	2	4	"Life Sciences"	803	1	"Female"	75	4	2	"Manufacturing Director"	1	"Single"	5980	26085	6	"Yes"	12	3	4	0	17	2	3	15	7	4	12
49	"Travel_Rarely"	301	"Research & Development"	22	4	"Other"	1655	1	"Female"	72	3	4	"Research Director"	2	"Married"	16413	3498	3	"No"	16	3	2	2	27	2	3	4	2	1	2
33	"Travel_Frequently"	1141	"Sales"	1	3	"Life Sciences"	52	3	"Female"	42	4	2	"Sales Executive"	1	"Married"	5376	3193	2	"No"	19	3	1	2	10	3	3	5	3	1	3
33	"Travel_Frequently"	827	"Research & Development"	1	4	"Other"	998	3	"Female"	84	4	2	"Healthcare Representative"	2	"Married"	5488	20161	1	"Yes"	13	3	1	1	6	2	3	6	5	1	2
38	"Travel_Rarely"	1261	"Research & Development"	2	4	"Life Sciences"	271	4	"Male"	88	3	2	"Manufacturing Director"	3	"Married"	6553	7259	9	"No"	14	3	2	0	14	3	3	1	0	0	0
46	"Travel_Rarely"	1125	"Sales"	10	3	"Marketing"	580	3	"Female"	94	2	3	"Sales Executive"	4	"Married"	9071	11563	2	"Yes"	19	3	3	1	15	3	3	3	2	1	2
28	"Travel_Frequently"	467	"Sales"	7	3	"Life Sciences"	1507	3	"Male"	55	3	2	"Sales Executive"	1	"Single"	4898	11827	0	"No"	14	3	4	0	5	5	3	4	2	1	3
42	"Travel_Rarely"	1332	"Research & Development"	2	4	"Other"	477	1	"Male"	98	2	2	"Healthcare Representative"	4	"Single"	6781	17078	3	"No"	23	4	2	0	14	6	3	1	0	0	0
